tgl_transaksi,nama_produk,hrg_jual,jumlah
2024-01-15,Kopi Hitam,Rp 8.000,3
2024-01-15,Kopi Susu,Rp 12.000,5
2024-01-15,Teh Manis,Rp 5.000,2
2024-01-16,Kopi Hitam,Rp 8.000,4
2024-01-16,Kopi Susu,Rp 12.000,7
2024-01-16,Gorengan,Rp 15.000,1
2024-01-17,Kopi Hitam,Rp 8.000,2
2024-01-17,Kopi Susu,Rp 12.000,6
2024-01-17,Teh Manis,Rp 5.000,3
2024-01-17,Gorengan,Rp 15.000,2
2024-01-18,Kopi Hitam,Rp 8.000,5
2024-01-18,Kopi Susu,Rp 12.000,8
2024-01-18,Roti Bakar,Rp 10.000,3
2024-01-19,Kopi Hitam,Rp 8.000,6
2024-01-19,Kopi Susu,Rp 12.000,9
2024-01-19,Teh Manis,Rp 5.000,4
2024-01-19,Gorengan,Rp 15.000,3
2024-01-20,Kopi Hitam,Rp 8.000,8
2024-01-20,Kopi Susu,Rp 12.000,12
2024-01-20,Roti Bakar,Rp 10.000,5
2024-01-20,Teh Manis,Rp 5.000,6
2024-01-21,Kopi Hitam,Rp 8.000,7
2024-01-21,Kopi Susu,Rp 12.000,11
2024-01-21,Gorengan,Rp 15.000,4
2024-01-22,Kopi Hitam,Rp 8.000,3
2024-01-22,Kopi Susu,Rp 12.000,4
2024-01-22,Teh Manis,Rp 5.000,2
2024-01-23,Kopi Hitam,Rp 8.000,5
2024-01-23,Kopi Susu,Rp 12.000,7
2024-01-23,Roti Bakar,Rp 10.000,4
2024-01-24,Kopi Hitam,Rp 8.000,6
2024-01-24,Kopi Susu,Rp 12.000,9
2024-01-24,Gorengan,Rp 15.000,3
2024-01-24,Teh Manis,Rp 5.000,5
2024-01-25,Kopi Hitam,Rp 8.000,4
2024-01-25,Kopi Susu,Rp 12.000,6
2024-01-25,Roti Bakar,Rp 10.000,2
2024-01-26,Kopi Hitam,Rp 8.000,7
2024-01-26,Kopi Susu,Rp 12.000,10
2024-01-26,Teh Manis,Rp 5.000,4
2024-01-26,Gorengan,Rp 15.000,5
2024-01-27,Kopi Hitam,Rp 8.000,9
2024-01-27,Kopi Susu,Rp 12.000,13
2024-01-27,Roti Bakar,Rp 10.000,6
2024-01-27,Teh Manis,Rp 5.000,7
2024-01-28,Kopi Hitam,Rp 8.000,8
2024-01-28,Kopi Susu,Rp 12.000,12
2024-01-28,Gorengan,Rp 15.000,4
